Date,Open,High,Low,Close,Adj Close,Volume
2024-07-11,536.7,539.55,530.0,534.1,534.1,4403809
2024-07-10,541.0,543.35,531.75,535.55,535.55,4616874
2024-07-09,544.0,544.95,537.6,541.0,541.0,4340722
2024-07-08,535.95,543.0,535.0,541.2,541.2,6088180
2024-07-05,531.35,536.5,529.45,535.1,535.1,5188045
2024-07-04,541.4,548.8,529.1,530.7,530.7,9762316
2024-07-03,541.9,545.45,535.5,539.0,539.0,8024692
2024-07-02,529.3,545.0,528.3,538.2,538.2,18138484
2024-07-01,517.9,535.8,514.1,527.35,527.35,15378764
2024-06-28,512.0,516.3,505.85,514.85,514.85,8202916
2024-06-27,492.15,511.95,489.2,510.8,510.8,21068569
2024-06-26,496.85,499.9,493.8,495.2,495.2,6406045
2024-06-25,490.55,498.0,489.3,496.85,496.85,4629105
2024-06-24,490.1,494.9,489.45,490.55,490.55,4967259
2024-06-21,497.95,500.95,489.1,490.55,490.55,47585588
2024-06-20,497.5,497.5,488.25,490.4,490.4,6285563
2024-06-19,492.25,497.15,486.75,495.75,495.75,10440142
2024-06-18,481.0,493.0,480.05,491.85,491.85,15935492
2024-06-14,485.0,485.6,476.2,477.5,477.5,5661298
2024-06-13,480.0,485.35,478.15,482.6,482.6,6497966
2024-06-12,478.0,484.4,475.55,476.9,476.9,6937558
2024-06-11,479.2,479.2,474.35,476.05,476.05,4685857
2024-06-10,488.4,488.4,473.35,475.25,475.25,9155876
2024-06-07,470.0,486.4,468.3,484.55,484.55,36336220
2024-06-06,454.95,462.0,452.6,461.0,461.0,7712784
2024-06-05,439.7,455.0,439.05,451.5,451.5,6133714
2024-06-04,445.9,445.9,417.0,438.15,438.15,8865366
2024-06-03,450.2,450.55,441.55,444.1,444.1,4482212
2024-05-31,437.55,442.15,435.5,438.2,438.2,10719002
2024-05-30,449.0,449.5,435.1,436.95,436.95,10362284
2024-05-29,454.0,455.5,449.5,450.8,450.8,4878018
2024-05-28,454.0,457.25,453.1,456.05,456.05,7889063
2024-05-27,462.0,462.15,451.6,452.45,452.45,20491879
2024-05-24,467.0,470.5,462.0,463.65,463.65,4102763
2024-05-23,462.5,468.0,461.75,465.8,465.8,6585666
2024-05-22,462.9,463.45,458.85,461.3,461.3,3882942
2024-05-21,463.0,464.8,459.7,460.9,460.9,4233724
2024-05-18,460.7,463.15,459.15,462.55,462.55,439806
2024-05-17,464.4,464.4,460.05,461.0,461.0,3438410
2024-05-16,462.0,467.5,456.1,464.45,464.45,7310736
2024-05-15,456.35,459.75,454.65,458.3,458.3,2396712
2024-05-14,452.7,459.9,452.2,456.35,456.35,2454710
2024-05-13,451.85,453.25,445.0,451.95,451.95,3555804
2024-05-10,456.05,457.5,450.3,451.85,451.85,3327357
2024-05-09,461.75,464.4,454.05,455.9,455.9,4616742
2024-05-08,465.0,466.4,461.3,463.2,463.2,4102840
2024-05-07,461.8,465.35,454.0,463.9,463.9,4639264
2024-05-06,458.8,462.6,456.0,458.65,458.65,3459063
2024-05-03,460.4,462.0,453.2,457.35,457.35,4865313
2024-05-02,462.4,463.0,455.45,457.4,457.4,7468638
2024-04-30,463.0,466.75,461.5,462.4,462.4,4451478
2024-04-29,467.65,468.0,461.6,462.95,462.95,3624970
2024-04-26,461.9,475.8,461.6,464.6,464.6,10739147
2024-04-25,458.9,462.55,455.8,461.0,461.0,5902545
2024-04-24,463.9,464.65,458.6,459.9,459.9,2957584
2024-04-23,466.8,466.8,460.2,462.1,462.1,5161356
2024-04-22,452.75,466.15,450.0,462.0,462.0,9440870
2024-04-19,440.0,453.9,437.0,452.75,452.75,10235053
2024-04-18,452.5,455.45,442.85,444.35,444.35,10993129
2024-04-16,453.05,458.5,444.8,448.35,448.35,10719712
2024-04-15,466.45,468.35,458.2,459.35,459.35,6088236
2024-04-12,475.0,480.0,470.0,470.75,470.75,6585023
2024-04-10,477.5,479.45,473.1,477.3,477.3,5385767
2024-04-09,483.95,485.25,475.2,475.8,475.8,7900625
2024-04-08,490.0,491.6,478.2,479.9,479.9,13320385
2024-04-05,486.5,487.15,482.55,485.05,485.05,3207172
2024-04-04,485.8,491.95,479.6,487.4,487.4,8002023
2024-04-03,480.0,487.7,475.95,483.2,483.2,6897258
2024-04-02,481.95,482.7,479.6,481.2,481.2,3466327
2024-04-01,483.7,486.4,481.55,484.95,484.95,3020504
2024-03-28,476.7,483.05,475.3,480.1,480.1,7727575
2024-03-27,479.7,480.95,471.25,472.3,472.3,7160334
2024-03-26,486.0,490.95,479.05,479.85,479.85,9136673
2024-03-22,489.25,490.75,479.55,487.1,487.1,14323251
2024-03-21,499.65,505.3,498.45,500.45,500.45,5822290
2024-03-20,496.05,501.25,489.2,493.5,493.5,4192672
2024-03-19,509.0,509.0,493.15,494.85,494.85,4808693
2024-03-18,518.0,518.55,509.0,510.2,510.2,3196980
2024-03-15,514.75,518.25,506.4,517.0,517.0,6824543
2024-03-14,501.15,518.9,495.15,517.95,517.95,6412736
2024-03-13,513.8,518.7,496.8,504.4,504.4,6790240
2024-03-12,512.75,522.5,507.75,510.85,510.85,5826380
2024-03-11,517.4,518.95,512.3,514.55,514.55,5565756
2024-03-07,513.75,520.4,510.5,515.5,515.5,4853991
2024-03-06,513.7,514.85,500.0,513.15,513.15,5545961
2024-03-05,517.75,520.5,510.65,513.3,513.3,5260774
2024-03-04,522.95,526.4,518.55,520.5,520.5,2831185
2024-03-02,523.45,524.8,522.0,522.85,522.85,340134
2024-03-01,522.4,525.2,517.55,519.1,519.1,4710315
2024-02-29,517.3,524.25,513.2,518.6,518.6,7231382
2024-02-28,530.0,530.95,515.0,517.7,517.7,6394528
2024-02-27,534.0,537.4,527.55,531.45,531.45,5199630
2024-02-26,536.25,536.5,526.05,532.9,532.9,4410318
2024-02-23,535.0,541.25,533.3,536.15,536.15,9930497
2024-02-22,522.8,533.0,521.45,531.05,531.05,7298241
2024-02-21,535.9,536.3,519.5,521.4,521.4,6557787
2024-02-20,535.8,538.15,526.25,531.95,531.95,5187063
2024-02-19,545.9,545.9,531.35,535.95,535.95,9301379
