Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,779.250000,791.549988,764.049988,781.599976,781.599976,54211
2024-01-03,785.950012,791.950012,775.799988,779.000000,779.000000,23333
2024-01-04,784.000000,794.000000,779.500000,786.650024,786.650024,25334
2024-01-05,793.400024,799.000000,745.000000,761.299988,761.299988,59692
2024-01-08,769.000000,774.750000,749.049988,751.650024,751.650024,17180
2024-01-09,750.049988,771.950012,750.049988,761.950012,761.950012,28717
2024-01-10,762.400024,774.349976,758.250000,772.849976,772.849976,12425
2024-01-11,781.799988,783.700012,768.450012,778.799988,778.799988,52125
2024-01-12,775.150024,779.400024,765.200012,768.650024,768.650024,11230
2024-01-15,772.099976,784.000000,765.599976,776.650024,776.650024,22696
2024-01-16,771.250000,786.000000,751.099976,756.299988,756.299988,12923
2024-01-17,752.500000,769.000000,730.799988,740.049988,740.049988,16861
2024-01-19,734.000000,748.599976,731.500000,744.549988,744.549988,22688
2024-01-23,743.000000,747.099976,709.150024,716.200012,716.200012,18835
2024-01-24,716.250000,722.000000,694.450012,715.849976,715.849976,39925
2024-01-25,719.849976,780.599976,717.150024,757.799988,757.799988,61057
2024-01-29,748.799988,748.799988,732.000000,736.349976,736.349976,19686
2024-01-30,736.450012,748.650024,733.500000,744.000000,744.000000,11212
2024-01-31,734.150024,765.000000,734.150024,761.000000,761.000000,28506
2024-02-01,768.849976,768.849976,741.000000,743.150024,743.150024,10191
2024-02-02,749.400024,766.799988,745.900024,751.400024,751.400024,13343
2024-02-05,758.599976,776.400024,751.150024,758.650024,758.650024,26360
2024-02-06,769.799988,779.950012,748.000000,761.599976,761.599976,51015
2024-02-07,781.150024,836.000000,780.549988,811.099976,811.099976,122833
2024-02-08,818.900024,844.549988,782.000000,786.299988,786.299988,87283
2024-02-09,788.950012,794.700012,755.000000,784.099976,784.099976,40317
2024-02-12,791.900024,795.099976,750.799988,759.849976,759.849976,71913
2024-02-13,747.150024,758.950012,722.700012,737.099976,737.099976,23229
2024-02-14,722.000000,758.099976,716.500000,754.650024,754.650024,26380
2024-02-15,767.950012,783.500000,761.000000,780.150024,780.150024,10126
2024-02-16,782.549988,794.000000,760.450012,768.400024,768.400024,29673
2024-02-19,801.000000,824.000000,783.799988,795.250000,795.250000,38625
2024-02-20,795.250000,810.950012,780.500000,785.549988,785.549988,30253
2024-02-21,786.099976,798.950012,769.349976,774.750000,774.750000,23803
2024-02-22,795.900024,795.900024,769.849976,780.099976,780.099976,21969
2024-02-23,783.799988,792.299988,771.250000,778.799988,778.799988,18882
2024-02-26,793.849976,793.849976,769.799988,773.049988,773.049988,8809
2024-02-27,767.099976,777.900024,732.000000,736.299988,736.299988,45066
2024-02-28,741.400024,749.650024,725.650024,743.049988,743.049988,40974
2024-02-29,741.000000,749.000000,725.450012,742.000000,742.000000,33110
2024-03-01,759.950012,769.950012,747.700012,768.250000,768.250000,28772
2024-03-04,770.450012,777.000000,754.000000,765.099976,765.099976,28906
2024-03-05,756.500000,768.150024,751.599976,757.750000,757.750000,25386
2024-03-06,758.000000,765.000000,736.450012,750.299988,750.299988,21434
2024-03-07,742.200012,759.150024,739.000000,745.349976,745.349976,18796
2024-03-11,740.650024,758.799988,725.000000,731.250000,731.250000,33580
2024-03-12,734.650024,740.000000,700.500000,705.200012,705.200012,46333
2024-03-13,701.349976,714.000000,664.200012,690.349976,690.349976,98324
2024-03-14,692.000000,712.200012,679.599976,693.950012,693.950012,19350
2024-03-15,690.450012,717.000000,680.000000,698.700012,698.700012,44814
2024-03-18,699.000000,704.299988,665.900024,673.150024,673.150024,31646
2024-03-19,674.400024,684.849976,662.299988,665.650024,665.650024,25163
2024-03-20,661.650024,682.400024,658.000000,664.549988,664.549988,15978
2024-03-21,684.250000,684.250000,671.099976,674.599976,674.599976,13593
2024-03-22,675.750000,692.250000,674.500000,681.900024,681.900024,8674
2024-03-26,688.549988,693.000000,675.000000,678.849976,678.849976,11587
2024-03-27,680.049988,744.700012,680.049988,731.099976,731.099976,38950
2024-03-28,738.400024,773.500000,731.750000,758.349976,758.349976,40932
2024-04-01,757.500000,767.549988,742.500000,745.549988,745.549988,40693
2024-04-02,751.200012,755.900024,746.200012,750.400024,750.400024,11438
2024-04-03,751.900024,759.150024,745.000000,747.750000,747.750000,33016
2024-04-04,755.750000,759.900024,736.950012,745.650024,745.650024,8424
2024-04-05,742.450012,767.299988,730.049988,759.299988,759.299988,44340
2024-04-08,773.750000,774.299988,743.599976,748.349976,748.349976,20291
2024-04-09,753.799988,764.849976,749.500000,756.400024,756.400024,11407
2024-04-10,769.000000,823.900024,767.849976,806.549988,806.549988,83597
2024-04-12,811.450012,842.750000,809.549988,818.500000,818.500000,54711
2024-04-15,800.049988,838.000000,784.450012,821.099976,821.099976,92791
2024-04-16,821.000000,858.549988,817.900024,846.650024,846.650024,73365
2024-04-18,858.450012,867.000000,838.049988,842.650024,842.650024,27959
2024-04-19,839.549988,880.000000,828.700012,869.400024,869.400024,60919
